x	y	c
0.81680544	0.5216447 	1
1.61859642	-0.37982927	1
-0.02126953	0.27372826	1
-1.02181041	-0.07543984	1
1.76654633	-0.17069874	1
1.8820287	-0.04238449	1
0.97481551	0.20999374	1
0.88798782	-0.48936735	1
0.89865156	0.36637762	1
1.11638974	-0.53460385	1
-0.36380036	0.82790185	1
0.24702417	-0.23856676	1
1.81658658	-0.13088387	1
1.2163905	-0.40685761	1
-0.8236696	0.64235178	1
0.98065583	0.20850838	1
0.54097175	0.88616823	1
0.348031	-0.30101351	1
0.35181497	0.88827765	1
-0.77708642	0.82253872	1
1.92590813	0.01214146	1
0.86096723	-0.47653216	1
0.19990695	0.99672359	1
1.2895301	-0.37071087	1
-0.27847636	1.02538452	1
0.24187916	-0.07627812	1
1.84988768	-0.09773674	1
1.88406869	0.0449402 	1
0.165822	-0.08613126	1
0.13861369	0.89639036	1
0.89087024	0.52265882	1
-0.22806587	0.84091882	1
0.98279208	-0.46457771	1
0.04237749	0.19457898	1
0.76422612	0.67223332	1
1.91108938	0.21178339	1
0.43608432	-0.23007221	1
0.96186938	0.09923426	1
-0.84336684	0.52414334	1
-0.04122466	0.35721873	1
0.55507653	-0.42493298	1
-0.4388286	0.85940389	1
0.6532646	0.71235382	1
0.10274835	0.06721414	1
1.5486824	-0.34012196	1
-0.37318371	0.95506411	1
1.01706978	0.19210044	1
-0.71923685	0.65476676	1
0.16135772	-0.10771978	1
0.86434045	-0.4594568 	1
-0.69717533	0.80133734	1
0.32791175	-0.19619019	1
1.98046734	0.03848682	1
-0.90479784	0.05723938	1
1.04515397	-0.50020349	1
0.7534213	0.65688005	1
0.54968577	0.73635744	1
1.24038086	-0.47577903	1
0.24918868	0.94246199	1
-0.20756105	0.99290594	1
0.35136403	-0.29065432	1
-1.01628753	0.16290244	1
1.78137056	-0.1244931 	1
0.87423825	0.53065346	1
1.09997644	-0.46733763	1
-1.07022744	0.2365448 	1
-0.15869858	1.01497482	1
1.46569247	-0.3808977 	1
0.03025209	0.97792142	1
-0.9365943	0.45674926	1
0.66038307	-0.46576222	1
-0.99144728	0.40662094	1
0.46339847	-0.46605416	1
-0.132006	0.52447234	1
0.81566997	-0.42821617	1
-0.94820947	0.37717096	1
0.05300205	0.18597406	1
0.92648634	0.40988975	1
0.60689997	0.78279323	1
0.72961391	-0.37215252	1
1.9796026	0.12425417	1
-0.02053902	0.97601558	1
0.63818364	-0.49916763	1
2.00639179	0.44597642	1
0.02315539	0.24035667	1
-0.35883877	1.02716833	1
0.95414653	0.04177433	1
-0.33921532	0.96308888	1
0.59950492	-0.39774852	1
1.99019644	0.39360049	1
0.33125729	0.9365782 	1
0.99460422	0.35063363	1
1.98845457	0.2628361 	1
-0.67473718	0.76419738	1
2.00751107	0.3651166 	1
1.78298331	-0.11490401	1
1.73616653	-0.22781554	1
0.40646216	-0.25422904	1
-1.02505346	0.24337404	1
0.06414296	0.07759793	1
1.30092145	-0.58089757	1
1.97425572	0.30889897	1
0.03228388	1.07937745	1
1.03086156	-0.02389082	1
-0.90062492	0.30653639	1
0.08068561	0.29131373	1
-0.98807765	0.1039765 	1
-0.47394435	0.96143212	1
1.54651932	-0.35008497	1
0.23332453	0.89648984	1
-0.58481687	0.80318956	1
0.0374878	1.02322111	1
-0.01943215	1.07001032	1
-0.85323667	0.39896937	1
0.92635535	0.37695326	1
1.43250553	-0.50148981	1
0.60622756	0.66229531	1
1.94401554	0.13685573	1
0.57984414	-0.39868907	1
0.74317519	0.50998316	1
0.87116686	0.54105191	1
-0.71045745	0.57281877	1
-0.03081568	0.33644614	1
-0.0298505	0.99553114	1
-0.06313347	0.42194174	1
-0.79223214	0.68354165	1
0.92098434	0.04171051	1
0.17794377	0.04536893	1
1.34934828	-0.3941652 	1
1.98387143	0.50898445	1
1.00104892	0.27158454	1
-0.5425424	0.76257612	1
-0.9969011	0.47226403	1
0.23408511	-0.15381658	1
1.21437019	-0.40862022	1
1.60101745	-0.17940652	1
1.15844202	-0.40408591	1
-1.00922523	0.2161359 	1
2.01865957	0.50313426	1
0.88839866	0.39017093	1
