x	y
4.8984433894	25.3360159000
3.1787189174	15.6054883000
4.6000109704	20.5798225000
3.7554988588	15.9638744000
4.6830707404	29.0289850000
7.6400262031	33.1174298000
4.1931252302	23.8119379000
4.1651557948	15.7291262000
5.0353598778	24.5040689000
2.1864274178	19.8375516000
5.8593265484	17.7197436000
2.5084299546	28.0602886000
1.0441045623	22.6623096000
5.0755080198	22.4809344000
6.3334772396	27.7880326000
2.5195295211	22.9120391000
1.7586273367	14.5467261000
6.4777464370	31.4680751000
6.6142281663	26.1166407000
4.8305520365	20.3566756000
2.7891463976	12.7201270000
1.8366951345	22.5961892000
4.2584804711	11.8302938000
7.2713508511	32.5288326000
7.9427046074	32.9541218000
5.2234807558	29.0001930000
7.0451009566	26.1126342000
4.0097792752	27.1130108000
3.7345390803	28.2426082000
0.4100892797	10.1205540000
6.1767732813	27.2018789000
5.5212181201	25.8901377000
4.9232611674	16.3364019000
4.8801817209	20.5057552000
5.7718230003	25.4600664000
5.4427800487	20.0132178000
3.4124810706	27.5436775000
4.2140086193	20.7120239000
5.4642024295	19.4362110000
4.7152830091	14.9350290000
5.6254045507	21.1691134000
3.3080537254	21.5076034000
3.5545594386	30.8569098000
5.5866772368	30.2837730000
5.3448631022	25.7644274000
4.0682092366	10.3809058000
0.4390473690	1.56849680000
0.9124870199	9.85759470000
2.4469718360	13.2578444000
1.4657358134	9.03481610000
1.9137862144	21.4874248000
3.2852334554	25.1894510000
5.9234115517	24.7642308000
4.6197832967	21.6601146000
4.2209413330	26.4316317000
4.3514497236	20.9424151000
5.2743833886	16.6046084000
3.5211967961	30.8292634000
6.4013251125	17.2536271000
3.9990307477	18.3657667000
5.5139221176	26.9602225000
5.7507773108	24.5646561000
1.8471319901	19.7067990000
4.8407922498	17.5940069000
4.5397729343	22.4584340000
7.8680538146	27.7523812000
4.2303543758	32.0242539000
3.9408136758	26.0580806000
3.7895869411	15.5093495000
6.5980688929	15.9496588000
3.4651971333	15.1831747000
1.6416266091	22.3108590000
2.1719240142	15.1783966000
5.8635523154	27.5911636000
8.3630460791	30.8307802000
6.6053211587	23.7632715000
4.3133191874	24.0741307000
1.7391548760	14.7158776000
4.8848054759	20.2049940000
3.2047493407	19.9107492000
1.9159746334	9.32722660000
3.9736128325	26.5137473000
4.7402806217	19.2946157000
3.2893780805	14.7801645000
4.7191691199	23.0017843000
6.6846271402	23.6757630000
2.5304847342	20.2153898000
7.1874145493	28.8619738000
3.8227776409	25.8440169000
7.7078025351	30.0211491000
5.5905135994	17.8197222000
4.4210597242	15.4042435000
5.5746048119	19.3562621000
2.9757665429	18.7407541000
4.3254349246	24.4344393000
3.0643555024	23.9092171000
2.5914497532	17.5810452000
6.7891114628	33.7082087000
6.8664988298	18.1254261000
3.0722527520	14.3773846000
