x	y	c
1.77	4.63	2
-7.76	0.53	0
3.10	6.14	2
-1.40	-7.80	1
2.26	7.51	2
-9.21	-2.41	0
-0.53	-6.08	1
-1.26	-8.56	1
-9.24	-2.14	0
-2.25	-7.59	1
-1.83	-6.24	1
2.01	5.74	2
0.09	8.84	2
-0.49	-9.05	1
-1.16	-7.92	1
1.69	-7.48	1
-1.55	-6.04	1
-9.48	-2.09	0
-8.68	-1.09	0
3.65	5.71	2
-7.88	1.07	0
1.78	5.82	2
2.81	7.92	2
-2.39	-8.83	1
-1.92	-7.14	1
3.21	7.78	2
-9.81	-2.34	0
-2.11	-8.96	1
0.65	6.06	2
2.46	6.86	2
-1.65	-6.41	1
-0.51	-9.32	1
-7.47	0.75	0
-9.75	-1.00	0
-7.55	-1.11	0
-8.19	-3.87	0
5.36	6.15	2
-8.38	-1.40	0
2.52	5.72	2
-2.18	-6.69	1
1.25	7.82	2
2.09	6.23	2
1.39	5.17	2
1.57	5.78	2
-1.00	-6.97	1
2.17	5.67	2
-0.38	-5.57	1
-3.53	-8.55	1
3.95	7.72	2
-8.02	-1.81	0
-8.35	-0.27	0
-1.50	-8.06	1
-8.12	-0.86	0
3.04	4.85	2
-7.14	0.47	0
-10.00	-1.04	0
-2.03	-7.62	1
-8.79	0.31	0
-2.79	-6.01	1
-1.32	-8.10	1
-2.18	-8.20	1
2.04	6.32	2
2.25	5.92	2
-1.52	-8.77	1
2.84	6.10	2
-2.35	-6.98	1
-2.71	-7.43	1
-9.36	-0.44	0
-3.36	-7.55	1
-9.25	-1.07	0
-6.85	0.01	0
-6.20	-1.40	0
-10.90	-0.51	0
-9.24	1.42	0
-0.69	-7.06	1
-8.51	-0.37	0
-1.27	-7.86	1
-8.11	-1.24	0
-8.40	-0.93	0
-8.58	-0.11	0
0.98	6.79	2
-1.67	-7.46	1
2.91	7.17	2
2.58	6.21	2
-7.43	-0.08	0
0.96	4.94	2
-8.36	1.62	0
1.84	6.66	2
1.57	5.85	2
-1.69	-6.66	1
-8.82	-0.58	0
1.59	5.46	2
-7.31	-0.62	0
-3.16	-8.38	1
-1.09	-8.55	1
-8.15	-0.16	0
0.54	4.28	2
1.31	7.45	2
1.46	6.87	2
-9.26	0.01	0
