x	y1		y2	y3
0	0		0	0
0.05	0.286396957	0.095	0.05
0.1	0.468995594	0.18	0.1
0.15	0.609840305	0.255	0.15
0.2	0.721928095	0.32	0.2
0.25	0.811278124	0.375	0.25
0.3	0.881290899	0.42	0.3
0.35	0.934068055	0.455	0.35
0.4	0.970950594	0.48	0.4
0.45	0.992774454	0.495	0.45
0.5	1		0.5 	0.5
0.55	0.992774454	0.495	0.45
0.6	0.970950594	0.48	0.4
0.65	0.934068055	0.455	0.35
0.7	0.881290899	0.42	0.3
0.75	0.811278124	0.375	0.25
0.8	0.721928095	0.32	0.2
0.85	0.609840305	0.255	0.15
0.9	0.468995594	0.18	0.1
0.95	0.286396957	0.095	0.05
1	0		0	0
