x	mu	sample1	sample2	sample3	sample4	sample5
-2.0000000000	0.0000000000	-4.6006670000	-1.7222843900	0.3090410800	0.9443738980	-4.3756033200
-1.9500000000	0.0000000000	-4.6056979000	-1.7275260700	0.2762601660	0.7942658660	-4.4054519600
-1.9000000000	0.0000000000	-4.6089629700	-1.7268933700	0.2470601010	0.6437860970	-4.4337525400
-1.8500000000	0.0000000000	-4.6104276100	-1.7203993100	0.2216081840	0.4933189320	-4.4600825300
-1.8000000000	0.0000000000	-4.6100544800	-1.7081007500	0.2000621250	0.3432375240	-4.4840172500
-1.7500000000	0.0000000000	-4.6077997300	-1.6900935400	0.1825741290	0.1938949690	-4.5051278900
-1.7000000000	0.0000000000	-4.6036206000	-1.6665182200	0.1692831130	0.0456258324	-4.5229882400
-1.6500000000	0.0000000000	-4.5974687600	-1.6375552300	0.1603158430	-0.1012556140	-4.5371761300
-1.6000000000	0.0000000000	-4.5892954600	-1.6034243400	0.1557844390	-0.2464592300	-4.5472783700
-1.5500000000	0.0000000000	-4.5790513900	-1.5643848100	0.1557831870	-0.3897166240	-4.5528947500
-1.5000000000	0.0000000000	-4.5666880800	-1.5207329800	0.1603883480	-0.5307845980	-4.5536405700
-1.4500000000	0.0000000000	-4.5521585600	-1.4727988000	0.1696557300	-0.6694418520	-4.5491508600
-1.4000000000	0.0000000000	-4.5354178400	-1.4209437400	0.1836163420	-0.8054921190	-4.5390834000
-1.3500000000	0.0000000000	-4.5164237800	-1.3655570100	0.2022772060	-0.9387605460	-4.5231232800
-1.3000000000	0.0000000000	-4.4951381300	-1.3070543400	0.2256185600	-1.0690957000	-4.5009832300
-1.2500000000	0.0000000000	-4.4715269700	-1.2458713600	0.2535913930	-1.1963647700	-4.4724088700
-1.2000000000	0.0000000000	-4.4455624000	-1.1824607900	0.2861171530	-1.3204549500	-4.4371803000
-1.1500000000	0.0000000000	-4.4172202500	-1.1172878500	0.3230857050	-1.4412688300	-4.3951158900
-1.1000000000	0.0000000000	-4.3864839600	-1.0508274700	0.3643538860	-1.5587251800	-4.3460710900
-1.0500000000	0.0000000000	-4.3533434100	-0.9835569710	0.4097468600	-1.6727543700	-4.2899445900
-1.0000000000	0.0000000000	-4.3177946700	-0.9159529980	0.4590539410	-1.7832975600	-4.2266759700
-0.9500000000	0.0000000000	-4.2798404900	-0.8484887420	0.5120337070	-1.8903035200	-4.1562496100
-0.9000000000	0.0000000000	-4.2394927200	-0.7816252970	0.5684101520	-1.9937273000	-4.0786931500
-0.8500000000	0.0000000000	-4.1967691100	-0.7158115520	0.6278753910	-2.0935266800	-3.9940806400
-0.8000000000	0.0000000000	-4.1516951000	-0.6514772270	0.6900899970	-2.1896613000	-3.9025302300
-0.7500000000	0.0000000000	-4.1043049900	-0.5890298700	0.7546866410	-2.2820901700	-3.8042057200
-0.7000000000	0.0000000000	-4.0546398400	-0.5288516320	0.8212695280	-2.3707702300	-3.6993154600
-0.6500000000	0.0000000000	-4.0027492200	-0.4712956190	0.8894193050	-2.4556551800	-3.5881116500
-0.6000000000	0.0000000000	-3.9486899500	-0.4166818330	0.9586937140	-2.5366935600	-3.4708880700
-0.5500000000	0.0000000000	-3.8925264100	-0.3652963340	1.0286332200	-2.6138284000	-3.3479810500
-0.5000000000	0.0000000000	-3.8343306800	-0.3173888310	1.0987624800	-2.6869979000	-3.2197656200
-0.4500000000	0.0000000000	-3.7741824800	-0.2731694420	1.1685962900	-2.7561327000	-3.0866551000
-0.4000000000	0.0000000000	-3.7121688600	-0.2328084580	1.2376421800	-2.8211583100	-2.9490974700
-0.3500000000	0.0000000000	-3.6483837600	-0.1964366630	1.3054056700	-2.8819949400	-2.8075748100
-0.3000000000	0.0000000000	-3.5829274400	-0.1641430400	1.3713947600	-2.9385585600	-2.6625986300
-0.2500000000	0.0000000000	-3.5159069600	-0.1359761550	1.4351244800	-2.9907623800	-2.5147094600
-0.2000000000	0.0000000000	-3.4474351200	-0.1119434790	1.4961223600	-3.0385166800	-2.3644718300
-0.1500000000	0.0000000000	-3.3776304700	-0.0920149300	1.5539315700	-3.0817327700	-2.2124727300
-0.1000000000	0.0000000000	-3.3066163600	-0.0761211285	1.6081174600	-3.1203243200	-2.0593178200
-0.0500000000	0.0000000000	-3.2345205100	-0.0641569182	1.6582711500	-3.1542073400	-1.9056290400
0.0000000000	0.0000000000	-3.1614745100	-0.0559835612	1.7040137100	-3.1833067400	-1.7520403400
0.0500000000	0.0000000000	-3.0876124700	-0.0514302819	1.7450003400	-3.2075533000	-1.5991945600
0.1000000000	0.0000000000	-3.0130702900	-0.0502969823	1.7809243700	-3.2268908400	-1.4477418200
0.1500000000	0.0000000000	-2.9379859000	-0.0523574590	1.8115204000	-3.2412746800	-1.2983335400
0.2000000000	0.0000000000	-2.8624966700	-0.0573618799	1.8365667200	-3.2506768900	-1.1516224400
0.2500000000	0.0000000000	-2.7867387900	-0.0650411290	1.8558887600	-3.2550851600	-1.0082557300
0.3000000000	0.0000000000	-2.7108463600	-0.0751077306	1.8693601800	-3.2545081900	-0.8688745400
0.3500000000	0.0000000000	-2.6349503700	-0.0872607379	1.8769037400	-3.2489736700	-0.7341102500
0.4000000000	0.0000000000	-2.5591778200	-0.1011887670	1.8784933400	-3.2385326400	-0.6045802900
0.4500000000	0.0000000000	-2.4836494500	-0.1165722650	1.8741525100	-3.2232587200	-0.4808862100
0.5000000000	0.0000000000	-2.4084792100	-0.1330867070	1.8639562800	-3.2032492600	-0.3636099800
0.5500000000	0.0000000000	-2.3337730400	-0.1504066760	1.8480271900	-3.1786264200	-0.2533114000
0.6000000000	0.0000000000	-2.2596278400	-0.1682067500	1.8265360200	-3.1495363200	-0.1505254400
0.6500000000	0.0000000000	-2.1861299900	-0.1861662430	1.7996980700	-3.1161488700	-0.0557592600
0.7000000000	0.0000000000	-2.1133551000	-0.2039684050	1.7677708100	-3.0786566400	0.0305119900
0.7500000000	0.0000000000	-2.0413665100	-0.2213077160	1.7310520500	-3.0372755500	0.1078442100
0.8000000000	0.0000000000	-1.9702146300	-0.2378869150	1.6898735700	-2.9922417400	0.1758317000
0.8500000000	0.0000000000	-1.8999366300	-0.2534203030	1.6445978600	-2.9438094400	0.2341046000
0.9000000000	0.0000000000	-1.8305560900	-0.2676376990	1.5956157800	-2.8922511300	0.2823360200
0.9500000000	0.0000000000	-1.7620819700	-0.2802829090	1.5433385500	-2.8378531800	0.3202398400
1.0000000000	0.0000000000	-1.6945098100	-0.2911159390	1.4881944100	-2.7809137200	0.3475765900
1.0500000000	0.0000000000	-1.6278206900	-0.2999147480	1.4306229700	-2.7217406400	0.3641530600
1.1000000000	0.0000000000	-1.5619822900	-0.3064749260	1.3710706800	-2.6606484000	0.3698237700
1.1500000000	0.0000000000	-1.4969490900	-0.3106104140	1.3099841900	-2.5979529600	0.3644952800
1.2000000000	0.0000000000	-1.4326633500	-0.3121556970	1.2478058900	-2.5339729100	0.3481238700
1.2500000000	0.0000000000	-1.3690557000	-0.3109633070	1.1849693500	-2.4690217500	0.3207199300
1.3000000000	0.0000000000	-1.3060470300	-0.3069063100	1.1218923400	-2.4034092200	0.2823467300
1.3500000000	0.0000000000	-1.2435487700	-0.2998774380	1.0589741300	-2.3374330800	0.2331215300
1.4000000000	0.0000000000	-1.1814653000	-0.2897899850	0.9965906600	-2.2713809900	0.1732166900
1.4500000000	0.0000000000	-1.1196945600	-0.2765757280	0.9350896030	-2.2055249400	0.1028579100
1.5000000000	0.0000000000	-1.0581313100	-0.2601864970	0.8747871430	-2.1401197500	0.0223263600
1.5500000000	0.0000000000	-0.9966669200	-0.2405937620	0.8159646620	-2.0754002500	-0.0680447300
1.6000000000	0.0000000000	-0.9351936900	-0.2177874370	0.7588665190	-2.0115792800	-0.1678694600
1.6500000000	0.0000000000	-0.8736034800	-0.1917757340	0.7036969960	-1.9488461600	-0.2767109100
1.7000000000	0.0000000000	-0.8117931500	-0.1625854720	0.6506189840	-1.8873651900	-0.3940841600
1.7500000000	0.0000000000	-0.7496641200	-0.1302606020	0.5997529710	-1.8272738400	-0.5194568800
1.8000000000	0.0000000000	-0.6871247100	-0.0948622134	0.5511747720	-1.7686826700	-0.6522536000
1.8500000000	0.0000000000	-0.6240931900	-0.0564681311	0.5049177360	-1.7116760900	-0.7918583500
1.9000000000	0.0000000000	-0.5604970400	-0.0151719128	0.4609712090	-1.6563090600	-0.9376171100
1.9500000000	0.0000000000	-0.4962773100	0.0289178546	0.4192823970	-1.6026104800	-1.0888436600
2.0000000000	0.0000000000	-0.4313875200	0.0756779607	0.3797559160	-1.5505836600	-1.2448216800
2.0500000000	0.0000000000	-0.3657967900	0.1249716790	0.3422578370	-1.5002055300	-1.4048119800
2.1000000000	0.0000000000	-0.2994891500	0.1766482520	0.3066153190	-1.4514298200	-1.5680539800
2.1500000000	0.0000000000	-0.2324659800	0.2305461770	0.2726216030	-1.4041885900	-1.7337741400
2.2000000000	0.0000000000	-0.1647467700	0.2864911420	0.2400361110	-1.3583938600	-1.9011887200
2.2500000000	0.0000000000	-0.0963677800	0.3442994510	0.2085900230	-1.3139399600	-2.0695121800
2.3000000000	0.0000000000	-0.0273839500	0.4037777040	0.1779864110	-1.2707064000	-2.2379592700
2.3500000000	0.0000000000	0.0421313500	0.4647232380	0.1479069620	-1.2285607400	-2.4057537300
2.4000000000	0.0000000000	0.1120869300	0.5269270100	0.1180142100	-1.1873614500	-2.5721324100
2.4500000000	0.0000000000	0.1823731400	0.5901728820	0.0879548234	-1.1469601700	-2.7363525300
2.5000000000	0.0000000000	0.2528643900	0.6542394420	0.0573636489	-1.1072061900	-2.8976949700
2.5500000000	0.0000000000	0.3234173600	0.7189014660	0.0258680468	-1.0679481100	-3.0554717100
2.6000000000	0.0000000000	0.3938734900	0.7839310420	-0.0069080758	-1.0290379900	-3.2090298400
2.6500000000	0.0000000000	0.4640590300	0.8490982830	-0.0413415279	-0.9903338170	-3.3577573200
2.7000000000	0.0000000000	0.5337881100	0.9141726030	-0.0778044961	-0.9517019820	-3.5010864200
2.7500000000	0.0000000000	0.6028604300	0.9789245710	-0.1166623010	-0.9130200090	-3.6384989900
2.8000000000	0.0000000000	0.6710671900	1.0431268200	-0.1582692910	-0.8741798400	-3.7695287400
2.8500000000	0.0000000000	0.7381884700	1.1065553400	-0.2029640140	-0.8350882720	-3.8937658300
2.9000000000	0.0000000000	0.8039972600	1.1689905900	-0.2510679590	-0.7956702060	-4.0108586600
2.9500000000	0.0000000000	0.8682606000	1.2302182100	-0.3028814190	-0.7558688160	-4.1205152400
3.0000000000	0.0000000000	0.9307404500	1.2900317900	-0.3586803400	-0.7156486240	-4.2225060600
3.0500000000	0.0000000000	0.9911966500	1.3482323200	-0.4187130660	-0.6749931890	-4.3166634300
3.1000000000	0.0000000000	1.0493873900	1.4046293600	-0.4831991780	-0.6339082430	-4.4028826400
3.1500000000	0.0000000000	1.1050722500	1.4590436500	-0.5523256540	-0.5924197520	-4.4811206600
3.2000000000	0.0000000000	1.1580131500	1.5113061100	-0.6262456710	-0.5505741630	-4.5513948100
3.2500000000	0.0000000000	1.2079758000	1.5612593100	-0.7050758660	-0.5084375700	-4.6137819100
3.3000000000	0.0000000000	1.2547322700	1.6087587200	-0.7888950280	-0.4660940000	-4.6684151600
3.3500000000	0.0000000000	1.2980625900	1.6536718000	-0.8777436420	-0.4236449500	-4.7154801900
3.4000000000	0.0000000000	1.3377552400	1.6958805500	-0.9716200310	-0.3812051480	-4.7552136600
3.4500000000	0.0000000000	1.3736108900	1.7352796400	-1.0704835100	-0.3389039180	-4.7878963500
3.5000000000	0.0000000000	1.4054418900	1.7717789700	-1.1742493800	-0.2968785000	-4.8138521300
3.5500000000	0.0000000000	1.4330746100	1.8053016400	-1.2827923200	-0.2552765650	-4.8334397100
3.6000000000	0.0000000000	1.4563509600	1.8357844900	-1.3959440500	-0.2142481660	-4.8470497300
3.6500000000	0.0000000000	1.4751295000	1.8631784900	-1.5134949400	-0.1739479920	-4.8550973200
3.7000000000	0.0000000000	1.4892872400	1.8874483600	-1.6351940000	-0.1345290500	-4.8580190800
3.7500000000	0.0000000000	1.4987188700	1.9085708900	-1.7607495100	-0.0961414212	-4.8562643900
3.8000000000	0.0000000000	1.5033394800	1.9265356300	-1.8898312100	-0.0589294205	-4.8502920800
3.8500000000	0.0000000000	1.5030854500	1.9413444500	-2.0220716700	-0.0230298307	-4.8405632500
3.9000000000	0.0000000000	1.4979136700	1.9530090500	-2.1570671600	0.0114322932	-4.8275356100
