x	mu	sigma_90	sigma_95	sigma_99	muPlus90	muMinus90	muPlus95	muMinus95	muPlus99	muMinus99	sample1	sample2	sample3
-3.50000	-0.0212958627	1.8290940800	2.1727420600	2.8600380200	1.8077982173	-1.8503899427	2.1514461973	-2.1940379227	2.8387421573	-2.8813338827	-1.3019216000	-0.2917137860	1.0100586800
-3.45000	-0.0267602114	1.8226943800	2.1651399900	2.8500312100	1.7959341686	-1.8494545914	2.1383797786	-2.1919002014	2.8232709986	-2.8767914214	-1.2187563000	-0.3565399140	1.0049473700
-3.40000	-0.0332000031	1.8151716900	2.1562039500	2.8382684600	1.7819716869	-1.8483716931	2.1230039469	-2.1894039531	2.8050684569	-2.8714684631	-1.1388670600	-0.4200242090	1.0000239800
-3.35000	-0.0407391501	1.8063790200	2.1457593200	2.8245199200	1.7656398699	-1.8471181701	2.1050201699	-2.1864984701	2.7837807699	-2.8652590701	-1.0630975100	-0.4819512470	0.9950605700
-3.30000	-0.0495100739	1.7961599700	2.1336203300	2.8085410500	1.7466498961	-1.8456700439	2.0841102561	-2.1831304039	2.7590309761	-2.8580511239	-0.9922379880	-0.5421622820	0.9897742450
-3.25000	-0.0596531258	1.7843499900	2.1195915100	2.7900745300	1.7246968642	-1.8440031158	2.0599383842	-2.1792446358	2.7304214042	-2.8497276558	-0.9270081030	-0.6005562400	0.9838327140
-3.20000	-0.0713157563	1.7707779100	2.1034695100	2.7688527200	1.6994621537	-1.8420936663	2.0321537537	-2.1747852663	2.6975369637	-2.8401684763	-0.8680402690	-0.6570825370	0.9768521600
-3.15000	-0.0846514085	1.7552678700	2.0850454700	2.7446006700	1.6706164615	-1.8399192785	2.0003940615	-2.1696968785	2.6599492615	-2.8292520785	-0.8158680710	-0.7117407010	0.9684028010
-3.10000	-0.0998181100	1.7376416900	2.0641077000	2.7170397300	1.6378235800	-1.8374598000	1.9642895900	-2.1639258100	2.6172216200	-2.8168578400	-0.7709150700	-0.7645725680	0.9580142930
-3.05000	-0.1169767440	1.7177214700	2.0404449000	2.6858917500	1.6007447260	-1.8346982140	1.9234681560	-2.1574216440	2.5689150060	-2.8028684940	-0.7334898080	-0.8156562280	0.9451825740
