x	mu	sigma_90	sigma_95	sigma_99	muPlus90	muMinus90	muPlus95	muMinus95	muPlus99	muMinus99	sample1	sample2	sample3
-3.50000	-0.2544347000	1.8436748400	2.1900622300	2.8828370200	1.5892401400	-2.0981095400	1.9356275300	-2.4444969300	2.6284023200	-3.1372717200	-0.5340735720	1.6373278700	-0.4774198800
-3.45000	-0.2802881600	1.8402463300	2.1859895700	2.8774760700	1.5599581700	-2.1205344900	1.9057014100	-2.4662777300	2.5971879100	-3.1577642300	-0.5561625800	1.7339167700	-0.4917731300
-3.40000	-0.3079523500	1.8361880100	2.1811687900	2.8711303500	1.5282356600	-2.1441403600	1.8732164400	-2.4891211400	2.5631780000	-3.1790827000	-0.5799262510	1.8257705100	-0.5081683100
-3.35000	-0.3374487100	1.8314104600	2.1754936400	2.8636599900	1.4939617500	-2.1688591700	1.8380449300	-2.5129423500	2.5262112800	-3.2011087000	-0.6057421130	1.9114266900	-0.5268678100
-3.30000	-0.3687841800	1.8258168900	2.1688491500	2.8549136800	1.4570327100	-2.1946010700	1.8000649700	-2.5376333300	2.4861295000	-3.2236978600	-0.6339012180	1.9894582900	-0.5481281900
-3.25000	-0.4019494100	1.8193036300	2.1611121900	2.8447293100	1.4173542200	-2.2212530400	1.7591627800	-2.5630616000	2.4427799000	-3.2466787200	-0.6646021130	2.0585034100	-0.5721875700
-3.20000	-0.4369170800	1.8117607400	2.1521521600	2.8329349800	1.3748436600	-2.2486778200	1.7152350800	-2.5890692400	2.3960179000	-3.2698520600	-0.6979479980	2.1172937700	-0.5992506700
-3.15000	-0.4736402100	1.8030729600	2.1418321200	2.8193504500	1.3294327500	-2.2767131700	1.6681919100	-2.6154723300	2.3457102400	-3.2929906600	-0.7339464320	2.1646838900	-0.6294783700
-3.10000	-0.5120506300	1.7931208100	2.1300101800	2.8037889000	1.2810701800	-2.3051714400	1.6179595500	-2.6420608100	2.2917382700	-3.3158395300	-0.7725107750	2.1996744200	-0.6629767000
-3.05000	-0.5520575600	1.7817820800	2.1165411300	2.7860592500	1.2297245200	-2.3338396400	1.5644835700	-2.6685986900	2.2340016900	-3.3381168100	-0.8134650470	2.2214342500	-0.6997881200
-3.00000	-0.5935462900	1.7689335200	2.1012786100	2.7659687800	1.1753872300	-2.3624798100	1.5077323200	-2.6948249000	2.1724224900	-3.3595150700	-0.8565488170	2.2293193100	-0.7398850000
-2.95000	-0.6363771900	1.7544529000	2.0840773900	2.7433263600	1.1180757100	-2.3908300900	1.4477002000	-2.7204545800	2.1069491700	-3.3797035500	-0.9014254850	2.2228869900	-0.7831641100
-2.90000	-0.6803848500	1.7382212300	2.0647961300	2.7179459200	1.0578363800	-2.4186060800	1.3844112800	-2.7451809800	2.0375610700	-3.3983307700	-0.9476925800	2.2019055300	-0.8294464500
-2.85000	-0.7253775300	1.7201253600	2.0433004200	2.6896505600	0.9947478300	-2.4455028900	1.3179228900	-2.7686779500	1.9642730300	-3.4150280900	-0.9948899550	2.1663593600	-0.8784778300
-2.80000	-0.7711369900	1.7000607500	2.0194661100	2.6582768100	0.9289237600	-2.4711977400	1.2483291200	-2.7906031000	1.8871398200	-3.4294138000	-1.0425129000	2.1164517600	-0.9299315600
-2.75000	-0.8174185400	1.6779345600	1.9931828700	2.6236795000	0.8605160200	-2.4953531000	1.1757643300	-2.8106014100	1.8062609600	-3.4410980400	-1.0900216200	2.0525992400	-0.9834156900
-2.70000	-0.8639515900	1.6536688200	1.9643581200	2.5857367100	0.7897172300	-2.5176204100	1.1004065300	-2.8283097100	1.7217851200	-3.4496883000	-1.1368544000	1.9754262600	-1.0384800900
-2.65000	-0.9104405400	1.6272038900	1.9329209900	2.5443551800	0.7167633500	-2.5376444300	1.0224804500	-2.8433615300	1.6339146400	-3.4547957200	-1.1824379400	1.8857517500	-1.0946278700
-2.60000	-0.9565661000	1.5985020000	1.8988266200	2.4994758500	0.6419359000	-2.5550681000	0.9422605200	-2.8553927200	1.5429097500	-3.4560419500	-1.2261984100	1.7845752800	-1.1513253900
-2.55000	-1.0019870900	1.5675509000	1.8620604600	2.4510795900	0.5655638100	-2.5695379900	0.8600733700	-2.8640475500	1.4490925000	-3.4530666800	-1.2675719200	1.6730576900	-1.2080159800
-2.50000	-1.0463426500	1.5343676300	1.8226427600	2.3991930200	0.4880249800	-2.5807102800	0.7763001100	-2.8689854100	1.3528503700	-3.4455356700	-1.3060139800	1.5525008500	-1.2641323800
-2.45000	-1.0892549100	1.4990022500	1.7806329800	2.3438944300	0.4097473400	-2.5882571600	0.6913780700	-2.8698878900	1.2546395200	-3.4331493400	-1.3410074400	1.4243242900	-1.3191087000
-2.40000	-1.1303321500	1.4615416100	1.7361342800	2.2853196100	0.3312094600	-2.5918737600	0.6058021300	-2.8664664300	1.1549874600	-3.4156517600	-1.3720701800	1.2900397200	-1.3723944600
-2.35000	-1.1691723700	1.4221130400	1.6892979200	2.2236676600	0.2529406700	-2.5912854100	0.5201255500	-2.8584702900	1.0544952900	-3.3928400300	-1.3987618400	1.1512257100	-1.4234640700
-2.30000	-1.2053672500	1.3808879100	1.6403274600	2.1592065500	0.1755206600	-2.5862551600	0.4349602100	-2.8456947100	0.9538393000	-3.3645738000	-1.4206881600	1.0095017800	-1.4718271700
-2.25000	-1.2385065600	1.3380850000	1.5894827900	2.0922783600	0.0995784400	-2.5765915600	0.3509762300	-2.8279893500	0.8537718000	-3.3307849200	-1.4375049500	0.8665008180	-1.5170370300
-2.20000	-1.2681828700	1.2939735100	1.5370836800	2.0233040300	0.0257906400	-2.5621563800	0.2689008100	-2.8052665500	0.7551211600	-3.2914869000	-1.4489222600	0.7238436450	-1.5586954100
-2.15000	-1.2939965700	1.2488755900	1.4835128300	1.9527872900	-0.0451209800	-2.5428721600	0.1895162600	-2.7775094000	0.6587907200	-3.2467838600	-1.4547045900	0.5831142970	-1.5964573300
-2.10000	-1.3155611300	1.2031681000	1.4292178700	1.8813174000	-0.1123930300	-2.5187292300	0.1136567400	-2.7447790000	0.5657562700	-3.1968785300	-1.4546736300	0.4458358510	-1.6300325900
-2.05000	-1.3325085700	1.1572831100	1.3747120600	1.8095699600	-0.1752254600	-2.4897916800	0.0422034900	-2.7072206300	0.4770613900	-3.1420785300	-1.4487076900	0.3134492780	-1.6591844900
-2.00000	-1.3444950100	1.1117067100	1.3205728200	1.7383050400	-0.2327883000	-2.4562017200	-0.0239221900	-2.6650678300	0.3938100300	-3.0828000500	-1.4367413400	0.1872925080	-1.6837283900
-1.95000	-1.3512062500	1.0669751800	1.2674371800	1.6683611800	-0.2842310700	-2.4181814300	-0.0837690700	-2.6186434300	0.3171549300	-3.0195674300	-1.4187656300	0.0685834096	-1.7035274300
-1.90000	-1.3523633100	1.0236674100	1.2159928000	1.6006435800	-0.3286959000	-2.3760307200	-0.1363705100	-2.5683561100	0.2482802700	-2.9530068900	-1.3948256100	-0.0415956802	-1.7184865300
-1.85000	-1.3477278300	0.9823923800	1.1669630700	1.5361044500	-0.3653354500	-2.3301202100	-0.1807647600	-2.5146909000	0.1883766200	-2.8838322800	-1.3650202000	-0.1423101860	-1.7285473200
-1.80000	-1.3371072600	0.9437701100	1.1210845000	1.4757132700	-0.3933371500	-2.2808773700	-0.2160227600	-2.4581917600	0.1386060100	-2.8128205300	-1.3294999500	-0.2327837590	-1.7336803100
-1.75000	-1.3203597000	0.9084051000	1.0790751500	1.4204152500	-0.4119546000	-2.2287648000	-0.2412845500	-2.3994348500	0.1000555500	-2.7407749500	-1.2884660600	-0.3124047440	-1.7338788900
-1.70000	-1.2973983400	0.8768519600	1.0415938500	1.3710776100	-0.4205463800	-2.1742503000	-0.2558044900	-2.3389921900	0.0736792700	-2.6684759500	-1.2421685600	-0.3807305990	-1.7291515800
-1.65000	-1.2681954300	0.8495748100	1.0091918900	1.3284260600	-0.4186206200	-2.1177702400	-0.2590035400	-2.2773873200	0.0602306300	-2.5966214900	-1.1909054400	-0.4374900290	-1.7195179700
-1.60000	-1.2327856000	0.8269041900	0.9822619400	1.2929774500	-0.4058814100	-2.0596897900	-0.2505236600	-2.2150475400	0.0601918500	-2.5257630500	-1.1350207100	-0.4825811680	-1.7050027700
-1.55000	-1.1912685900	0.8089979600	0.9609915200	1.2649786300	-0.3822706300	-2.0002665500	-0.2302770700	-2.1522601100	0.0737100400	-2.4562472200	-1.0749045400	-0.5160673540	-1.6856331100
-1.50000	-1.1438111800	0.7958137100	0.9453302300	1.2443632600	-0.3479974700	-1.9396248900	-0.1984809500	-2.0891414100	0.1005520800	-2.3881744400	-1.0109903100	-0.5381721220	-1.6614359500
-1.45000	-1.0906483700	0.7870995800	0.9349788900	1.2307375200	-0.3035487900	-1.8777479500	-0.1556694800	-2.0256272600	0.1400891500	-2.3213858900	-0.9437548600	-0.5492698340	-1.6324397900
-1.40000	-1.0320836300	0.7824069500	0.9294046200	1.2233999600	-0.2496766800	-1.8144905800	-0.1026790100	-1.9614882500	0.1913163300	-2.2554835900	-0.8737163840	-0.5498745960	-1.5986741800
-1.35000	-0.9684883300	0.7811234000	0.9278799200	1.2213929600	-0.1873649300	-1.7496117300	-0.0406084100	-1.8963682500	0.2529046300	-2.1898812900	-0.8014325720	-0.5406289390	-1.5601741800
-1.30000	-0.9003001600	0.7825198100	0.9295386800	1.2235764200	-0.1177803500	-1.6828199700	0.0292385200	-1.8298388400	0.3232762600	-2.1238765800	-0.7274988930	-0.5222886360	-1.5169850200
-1.25000	-0.8280206000	0.7858031900	0.9334389400	1.2287104400	-0.0422174100	-1.6138237900	0.1054183400	-1.7614595400	0.4006898400	-2.0567310400	-0.6525446790	-0.4957074750	-1.4691675200
-1.20000	-0.7522115200	0.7901675000	0.9386232100	1.2355346300	0.0379559800	-1.5423790200	0.1864116900	-1.6908347300	0.4833231100	-1.9877461500	-0.5772298590	-0.4618208140	-1.4168051400
-1.15000	-0.6734907500	0.7948367900	0.9441697600	1.2428357000	0.1213460400	-1.4683275400	0.2706790100	-1.6176605100	0.5693449500	-1.9163264500	-0.5022413280	-0.4216289180	-1.3600116600
-1.10000	-0.5925267400	0.7990983900	0.9492320200	1.2494992900	0.2065716500	-1.3916251300	0.3567052800	-1.5417587600	0.6569725500	-1.8420260300	-0.4282852020	-0.3761791100	-1.2989388500
-1.05000	-0.5100324000	0.8023260800	0.9530661300	1.2545462300	0.2922936800	-1.3123584800	0.4430337300	-1.4630985300	0.7445138300	-1.7645786300	-0.3560818910	-0.3265483990	-1.2337837100
-1.00000	-0.4267580600	0.8039947900	0.9550483600	1.2571554900	0.3772367300	-1.2307528500	0.5282903000	-1.3818064200	0.8303974300	-1.6839135500	-0.2863578590	-0.2738269120	-1.1647954900
-0.95000	-0.3434837800	0.8036887400	0.9546848100	1.2566769500	0.4602049600	-1.1471725200	0.6112010300	-1.2981685900	0.9131931700	-1.6001607300	-0.2198367350	-0.2191011380	-1.0922820300
-0.90000	-0.2610109200	0.8011051300	0.9516157900	1.2526371100	0.5400942100	-1.0621160500	0.6906048700	-1.2126267100	0.9916261900	-1.5136480300	-0.1572295450	-0.1634392440	-1.0166145300
-0.85000	-0.1801532200	0.7960547500	0.9456165500	1.2447401500	0.6159015300	-0.9762079700	0.7654633300	-1.1257697700	1.0645869300	-1.4248933700	-0.0992251316	-0.1078768230	-0.9382302700
-0.80000	-0.1017274700	0.7884609200	0.9365960000	1.2328661600	0.6867334500	-0.8901883900	0.8348685300	-1.0383234700	1.1311386900	-1.3345936300	-0.0464793175	-0.0534045720	-0.8576352400
-0.75000	-0.0265437900	0.7783571900	0.9245939900	1.2170676000	0.7518134000	-0.8049009800	0.8980502000	-0.9511377800	1.1905238100	-1.2436113900	0.0003961189	-0.0009576292	-0.7754023400
-0.70000	0.0446041500	0.7658843900	0.9097778200	1.1975646800	0.8104885400	-0.7212802400	0.9543819700	-0.8651736700	1.2421688300	-1.1529605300	0.0408442775	0.0485939062	-0.6921706000
-0.65000	0.1109490400	0.7512868900	0.8924377600	1.1747395000	0.8622359300	-0.6403378500	1.0033868000	-0.7814887200	1.2856885400	-1.0637904600	0.0743722016	0.0944512364	-0.6086393800
-0.60000	0.1717596500	0.7349079000	0.8729815000	1.1491287100	0.9066675500	-0.5631482500	1.0447411500	-0.7012218500	1.3208883600	-0.9773690600	0.1005616470	0.1358936580	-0.5255623100
-0.55000	0.2263502900	0.7171830800	0.8519265700	1.1214135500	0.9435333700	-0.4908327900	1.0782768600	-0.6255762800	1.3477638400	-0.8950632600	0.1190761900	0.1722810210	-0.4437386700
-0.50000	0.2740899700	0.6986316900	0.8298897600	1.0924059100	0.9727216600	-0.4245417200	1.1039797300	-0.5557997900	1.3664958800	-0.8183159400	0.1296672640	0.2030579620	-0.3640043400
-0.45000	0.3144108100	0.6798436600	0.8075718600	1.0630282600	0.9942544700	-0.3654328500	1.1219826700	-0.4931610500	1.3774390700	-0.7486174500	0.1321808730	0.2277529680	-0.2872185300
-0.40000	0.3468159800	0.6614611800	0.7857357100	1.0342847600	1.0082771600	-0.3146452000	1.1325516900	-0.4389197300	1.3811007400	-0.6874687800	0.1265583700	0.2459800550	-0.2142511700
-0.35000	0.3708866200	0.6441529900	0.7651756700	1.0072210400	1.0150396100	-0.2732663700	1.1360622900	-0.3942890500	1.3781076600	-0.6363344200	0.1128379800	0.2574375090	-0.1459696300
-0.30000	0.3862879900	0.6285802200	0.7466771100	0.9828708900	1.0148682100	-0.2422922300	1.1329651000	-0.3603891200	1.3691588800	-0.5965829000	0.0911537288	0.2619066450	-0.0832226000
-0.25000	0.3927744400	0.6153542500	0.7309662600	0.9621902800	1.0081286900	-0.2225798100	1.1237407000	-0.3381918200	1.3549647200	-0.5694158400	0.0617314145	0.2592508280	-0.0268253900
-0.20000	0.3901933500	0.6049893400	0.7186540000	0.9459833300	0.9951826900	-0.2147959900	1.1088473500	-0.3284606500	1.3361766800	-0.5557899800	0.0248824676	0.2494127600	0.0224551800
-0.15000	0.3784878300	0.5978560100	0.7101804700	0.9348293900	0.9763438400	-0.2193681800	1.0886683000	-0.3316926400	1.3133172200	-0.5563415600	-0.0190027582	0.2324143990	0.0639170300
-0.10000	0.3576980900	0.5941436100	0.7057705900	0.9290245500	0.9518417000	-0.2364455200	1.0634686800	-0.3480725000	1.2867226400	-0.5713264600	-0.0694643559	0.2083545940	0.0969356500
-0.05000	0.3279616600	0.5938406300	0.7054106900	0.9285508000	0.9218022900	-0.2658789700	1.0333723500	-0.3774490300	1.2565124600	-0.6005891400	-0.1259838210	0.1774081860	0.1209794300
0.00000	0.2895121600	0.5967382500	0.7088527000	0.9330816200	0.8862504100	-0.3072260900	0.9983648600	-0.4193405400	1.2225937800	-0.6435694600	-0.1879947120	0.1398255670	0.1356206000
0.05000	0.2426768500	0.6024570900	0.7156459900	0.9420238100	0.8451339400	-0.3597802400	0.9583228400	-0.4729691400	1.1847006600	-0.6993469600	-0.2548949370	0.0959309873	0.1405471100
0.10000	0.1878728800	0.6104914900	0.7251898900	0.9545866900	0.7983643700	-0.4226186100	0.9130627700	-0.5373170100	1.1424595700	-0.7667138100	-0.3260589470	0.0461222487	0.1355707300
0.15000	0.1256023500	0.6202622900	0.7367964200	0.9698646800	0.7458646400	-0.4946599400	0.8623987700	-0.6111940700	1.0954670300	-0.8442623300	-0.4008485690	-0.0091310754	0.1206334200
0.20000	0.0564461900	0.6311692500	0.7497525600	0.9869191900	0.6876154400	-0.5747230600	0.8061987500	-0.6933063700	1.0433653800	-0.9304730000	-0.4786248890	-0.0692881070	0.0958125800
0.25000	-0.0189430100	0.6426367400	0.7633745500	1.0048501700	0.6236937300	-0.6615797500	0.7444315400	-0.7823175600	0.9859071600	-1.0237931800	-0.5587581980	-0.1337403890	0.0613225300
0.30000	-0.0998491400	0.6541498200	0.7770507000	1.0228524500	0.5543006800	-0.7539989600	0.6772015600	-0.8768998400	0.9230033100	-1.1227015900	-0.6406364760	-0.2018146970	0.0175128000
0.35000	-0.1855014600	0.6652803300	0.7902723900	1.0402565200	0.4797788700	-0.8507817900	0.6047709300	-0.9757738500	0.8547550600	-1.2257579800	-0.7236722970	-0.2727768760	-0.0351345400
0.40000	-0.2750842500	0.6757043300	0.8026548400	1.0565558700	0.4006200800	-0.9507885800	0.5275705900	-1.0777390900	0.7814716200	-1.3316401200	-0.8073090730	-0.3458382990	-0.0960118800
0.45000	-0.3677470100	0.6852127300	0.8139496600	1.0714235400	0.3174657200	-1.0529597400	0.4462026500	-1.1816966700	0.7036765300	-1.4391705500	-0.8910247910	-0.4201632710	-0.1643958200
0.50000	-0.4626149600	0.6937166400	0.8240512800	1.0847205700	0.2311016800	-1.1563316000	0.3614363200	-1.2866662400	0.6221056100	-1.5473355300	-0.9743330950	-0.4948769500	-0.2394582000
0.55000	-0.5587998100	0.7012486700	0.8329984300	1.0964979300	0.1424488600	-1.2600484800	0.2741986200	-1.3917982400	0.5376981200	-1.6552977400	-1.0567850600	-0.5690763770	-0.3202800100
0.60000	-0.6554106200	0.7079604600	0.8409712100	1.1069927200	0.0525498400	-1.3633710800	0.1855605900	-1.4963818300	0.4515821000	-1.7624033400	-1.1379671100	-0.6418413790	-0.4058688300
0.65000	-0.7515644300	0.7141164600	0.8482837900	1.1166184600	-0.0374479700	-1.4656808900	0.0967193600	-1.5998482200	0.3650540300	-1.8681828900	-1.2174988200	-0.7122478250	-0.4951757300
0.70000	-0.8463967800	0.7200834200	0.8553718200	1.1259486200	-0.1263133600	-1.5664802000	0.0089750400	-1.7017686000	0.2795518400	-1.9723454000	-1.2950291300	-0.7793809190	-0.5871156100
0.75000	-0.9390716000	0.7263146500	0.8627737600	1.1356919900	-0.2127569500	-1.6653862500	-0.0762978400	-1.8018453600	0.1966203900	-2.0747635900	-1.3702326000	-0.8423496710	-0.6805863600
0.80000	-1.0287907500	0.7333283900	0.8711052400	1.1466589400	-0.2954623600	-1.7621191400	-0.1576855100	-1.8998959900	0.1178681900	-2.1754496900	-1.4428041000	-0.9003014300	-0.7744897300
0.85000	-1.1148026600	0.7416800400	0.8810259900	1.1597178800	-0.3731226200	-1.8564827000	-0.2337766700	-1.9958286500	0.0449152200	-2.2745205400	-1.5124546800	-0.9524360470	-0.8677529300
0.90000	-1.1964102700	0.7519287800	0.8932002500	1.1757431800	-0.4444814900	-1.9483390500	-0.3032100200	-2.0896105200	-0.0206670900	-2.3721534500	-1.5789055600	-0.9980195710	-0.9593466600
0.95000	-1.2729779700	0.7646007400	0.9082530000	1.1955575300	-0.5083772300	-2.0375787100	-0.3647249700	-2.1812309700	-0.0774204400	-2.4685355000	-1.6418851300	-1.0363973100	-1.0483054000
1.00000	-1.3439376000	0.7801520300	0.9267260400	1.2198740800	-0.5637855700	-2.1240896300	-0.4172115600	-2.2706636400	-0.1240635200	-2.5638116800	-1.7011251100	-1.0670049700	-1.1337433200
1.05000	-1.4087932900	0.7989358800	0.9490389800	1.2492451900	-0.6098574100	-2.2077291700	-0.4597543100	-2.3578322700	-0.1595481000	-2.6580384800	-1.7563576400	-1.0893788300	-1.2148700000
1.10000	-1.4671252600	0.8211783800	0.9754603800	1.2840243800	-0.6459468800	-2.2883036400	-0.4916648800	-2.4425856400	-0.1831008800	-2.7511496400	-1.8073142800	-1.1031631600	-1.2910027400
1.15000	-1.5185924300	0.8469658200	1.0060927400	1.3243465600	-0.6716266100	-2.3655582500	-0.5124996900	-2.5246851700	-0.1942458700	-2.8429389900	-1.8537255700	-1.1081161100	-1.3615771100
1.20000	-1.5629339100	0.8762447400	1.0408725400	1.3701281400	-0.6866891700	-2.4391786500	-0.5220613700	-2.6038064500	-0.1928057700	-2.9330620500	-1.8953223700	-1.1041132800	-1.4261533700
1.25000	-1.5999692800	0.9088334300	1.0795839600	1.4210850000	-0.6911358500	-2.5088027100	-0.5203853200	-2.6795532400	-0.1788842800	-3.0210542800	-1.9318385000	-1.0911484800	-1.4844208000
1.30000	-1.6295979300	0.9444420000	1.1218826200	1.4767638600	-0.6851559300	-2.5740399300	-0.5077153100	-2.7514805500	-0.1528340700	-3.1063617900	-1.9630137400	-1.0693333200	-1.5361985200
1.35000	-1.6517971900	0.9826970400	1.1673249700	1.5365808300	-0.6691001500	-2.6344942300	-0.4844722200	-2.8191221600	-0.1152163600	-3.1883780200	-1.9885990300	-1.0388935400	-1.5814340500
1.40000	-1.6666195500	1.0231674800	1.2153989500	1.5998618800	-0.6434520700	-2.6897870300	-0.4512206000	-2.8820185000	-0.0667576700	-3.2664814300	-2.0083624000	-1.0001637400	-1.6201977000
